Date,Citywide % 7-day,NYU Aggregate Neighborhood % 7-day,Manhattan % 7-day,NYU % 7-day
8/21/2020,1.00,0.36,0.70,-
8/22/2020,0.98,0.34,0.71,-
8/23/2020,0.97,0.33,0.71,0.05
8/24/2020,0.95,0.32,0.70,0.05
8/25/2020,0.93,0.31,0.69,0.06
8/26/2020,0.92,0.31,0.67,0.08
8/27/2020,0.92,0.31,0.67,0.05
8/28/2020,0.94,0.33,0.66,0.11
8/29/2020,0.94,0.34,0.64,0.18
8/30/2020,0.93,0.36,0.62,0.19
8/31/2020,0.93,0.36,0.61,0.15
9/1/2020,0.93,0.37,0.60,0.10
9/2/2020,0.93,0.35,0.59,0.13
9/3/2020,0.92,0.35,0.58,0.10
9/4/2020,0.91,0.34,0.57,0.07
9/5/2020,0.89,0.34,0.56,0.08
9/6/2020,0.88,0.34,0.54,0.08
9/7/2020,0.88,0.35,0.54,0.10
9/8/2020,0.88,0.37,0.54,0.13
9/9/2020,0.89,0.42,0.55,0.10
9/10/2020,0.92,0.46,0.56,0.29
9/11/2020,0.95,0.51,0.58,0.40
9/12/2020,0.98,0.55,0.61,1.52
9/13/2020,1.02,0.59,0.64,1.06
9/14/2020,1.05,0.63,0.65,0.72
9/15/2020,1.07,0.65,0.67,0.51
9/16/2020,1.09,0.63,0.67,0.67
9/17/2020,1.10,0.61,0.67,0.67
9/18/2020,1.11,0.59,0.66,0.73
9/19/2020,1.11,0.57,0.64,0.42
9/20/2020,1.10,0.54,0.62,0.46
9/21/2020,1.10,0.49,0.60,0.49
9/22/2020,1.11,0.47,0.59,0.61
9/23/2020,1.12,0.46,0.58,0.59
9/24/2020,1.15,0.46,0.58,0.51
9/25/2020,1.18,0.48,0.59,0.67
9/26/2020,1.22,0.49,0.60,0.71
9/27/2020,1.29,0.50,0.62,0.77
9/28/2020,1.34,0.53,0.64,0.88
9/29/2020,1.40,0.55,0.67,0.90
9/30/2020,1.46,0.59,0.70,0.76
10/1/2020,1.52,0.65,0.74,0.81
10/2/2020,1.57,0.69,0.76,0.60
10/3/2020,1.61,0.74,0.79,0.60
10/4/2020,1.63,0.79,0.81,0.65
10/5/2020,1.67,0.85,0.83,0.58
10/6/2020,1.67,0.85,0.83,0.56
10/7/2020,1.65,0.81,0.82,0.47
10/8/2020,1.62,0.74,0.79,0.49
10/9/2020,1.57,0.67,0.76,0.53
10/10/2020,1.53,0.60,0.73,0.53
10/11/2020,1.49,0.54,0.71,0.39
10/12/2020,1.43,0.47,0.68,0.30
10/13/2020,1.40,0.47,0.68,0.19
10/14/2020,1.39,0.51,0.69,0.25
10/15/2020,1.39,0.56,0.71,0.18
10/16/2020,1.39,0.61,0.73,0.22
10/17/2020,1.40,0.66,0.76,0.38
10/18/2020,1.41,0.70,0.79,0.63
10/19/2020,1.43,0.74,0.82,0.54
10/20/2020,1.45,0.75,0.84,0.79
10/21/2020,1.46,0.75,0.86,0.69
10/22/2020,1.48,0.74,0.89,0.80
10/23/2020,1.51,0.73,0.92,0.66
10/24/2020,1.53,0.71,0.93,0.48
10/25/2020,1.55,0.70,0.95,0.18
10/26/2020,1.57,0.69,0.97,0.16
10/27/2020,1.59,0.70,1.00,0.13
10/28/2020,1.62,0.70,1.02,0.12
10/29/2020,1.64,0.69,1.02,0.13
10/30/2020,1.65,0.69,1.03,0.18
10/31/2020,1.66,0.69,1.05,0.17
11/1/2020,1.68,0.69,1.06,0.19
11/2/2020,1.70,0.68,1.07,0.24
11/3/2020,1.74,0.67,1.08,0.19
11/4/2020,1.78,0.68,1.11,0.20
11/5/2020,1.84,0.70,1.16,0.19
11/6/2020,1.92,0.73,1.21,0.14
11/7/2020,2.02,0.76,1.29,0.14
11/8/2020,2.14,0.81,1.38,0.13
11/9/2020,2.27,0.88,1.49,0.15
11/10/2020,2.40,0.95,1.61,0.19
11/11/2020,2.55,1.02,1.74,0.15
11/12/2020,2.68,1.09,1.86,0.22
11/13/2020,2.80,1.18,1.97,0.26
11/14/2020,2.91,1.25,2.07,0.31
11/15/2020,3.00,1.30,2.14,0.39
11/16/2020,3.06,1.34,2.19,0.46
11/17/2020,3.10,1.38,2.21,0.40
11/18/2020,3.11,1.42,2.20,0.43
11/19/2020,3.12,1.43,2.17,0.41
11/20/2020,3.12,1.42,2.13,0.42
11/21/2020,3.12,1.41,2.08,0.42
11/22/2020,3.12,1.40,2.03,0.56
11/23/2020,3.12,1.37,1.99,0.51
11/24/2020,3.14,1.37,1.96,0.68
11/25/2020,3.21,1.35,1.97,0.61
11/26/2020,3.28,1.33,2.00,0.61
11/27/2020,3.42,1.36,2.08,0.64
11/28/2020,3.59,1.41,2.19,0.69
11/29/2020,3.80,1.48,2.34,0.51
